1,1,1,1,1,1.0,1.0,1
2,0,0,1,1,0.0,0.35,1
3,0,0,1,1,1.0,1.0,1
4,0,0,0,0,0.0,0.0,0
5,0,0,0,0,0.0,0.0,0
6,1,1,1,1,1.0,1.0,1
7,0,0,0,0,0.0,0.0,0
8,1,1,1,1,0.15,1.0,1
9,1,1,1,1,0.6,1.0,1
10,0,0,0,0,0.0,0.0,0
11,1,0,0,0,0.0,0.0,0
12,0,1,1,1,0.9,1.0,1
14,0,0,1,1,0.05,0.8,1
15,1,1,1,1,0.0,0.65,1
16,0,0,1,1,0.3,0.4,1
17,0,1,1,1,0.05,0.6,1
18,1,1,1,1,1.0,1.0,1
19,0,0,1,1,0.0,0.45,1
20,0,1,1,1,1.0,0.55,1
22,0,0,0,0,0.0,0.0,0
23,0,0,1,1,0.85,1.0,0
24,0,0,1,1,1.0,0.95,1
25,0,0,1,1,0.05,0.9,1
26,1,1,1,1,0.65,0.95,1
27,1,1,1,1,0.65,0.85,1
