MS,SMS,RMS,CMS,COS,SC
jsoup_81_fixed,1,1,1,0.2,0.5,1
jsoup_37_fixed,1,1,1,0.3333333333333333,0,0.007692307692307693
jsoup_91_fixed,1,1,0.6,0.6,0.6,1
jsoup_77_fixed,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.07692307692307693
jsoup_72_fixed,1,1,0.6666666666666666,0.125,1,0.5
jsoup_29_fixed,1,1,1,0,1,1
jsoup_36_fixed,1,1,0.5555555555555556,1,1,1
jsoup_89_fixed,1,1,1,1,1,0.3333333333333333
jsoup_22_fixed,1,1,1,1,1,1
jsoup_13_fixed,1,1,1,1,1,1
jsoup_54_fixed,1,1,0.25,1,0.25,0.25
jsoup_75_fixed,0.2,0,0.08333333333333333,0.012658227848101266,0.08333333333333333,0.012658227848101266
jsoup_5_fixed,1,1,1,1,1,1
jsoup_34_fixed,1,1,1,0.6666666666666666,1,0.5
jsoup_1_fixed,0.5,0.5,0.5,0.5,0,0.5
jsoup_68_fixed,1,1,1,1,1,1
jsoup_73_fixed,1,1,1,1,1,1
jsoup_41_fixed,1,1,1,1,1,0.14285714285714285
jsoup_28_fixed,1,1,1,0.2857142857142857,1,0.6666666666666666
jsoup_16_fixed,1,1,1,1,0,1
jsoup_27_fixed,1,1,1,1,1,1
jsoup_70_fixed,0.5,0.5,0.5,0.043478260869565216,0.5,0.04
jsoup_10_fixed,1,1,0.014705882352941176,0.02,0.009259259259259259,1
jsoup_49_fixed,0.1,0,0.045454545454545456,0.09090909090909091,0.1,0.03333333333333333
jsoup_32_fixed,1,1,0.003436426116838488,1,0.043478260869565216,0.16666666666666666
jsoup_26_fixed,1,1,0,1,1,0.14285714285714285
jsoup_35_fixed,1,1,0.5,0.5,0.5,0.5
jsoup_83_fixed,1,1,0.5,0.3333333333333333,0.125,1
jsoup_71_fixed,1,1,1,0.3333333333333333,1,1
jsoup_38_fixed,1,1,0.04,0.07692307692307693,1,1
jsoup_80_fixed,1,1,0.2,1,1,0.2
jsoup_88_fixed,0.018867924528301886,0,0.018867924528301886,0,0,0.02564102564102564
jsoup_46_fixed,1,1,0.05555555555555555,1,0.006097560975609756,1
jsoup_42_fixed,1,1,1,1,1,1
jsoup_11_fixed,1,1,1,0.4,1,1
jsoup_84_fixed,1,1,0.5,0.3333333333333333,1,0.2
jsoup_3_fixed,1,1,1,1,1,0.25
